,Frame Number,Time Stamp (ms),Buffer Index
117,117,3927,0
118,118,3964,0
119,119,3994,0
120,120,4030,0
121,121,4063,0
122,122,4096,0
123,123,4131,0
124,124,4161,0
125,125,4197,0
126,126,4230,0
127,127,4262,0
128,128,4298,0
129,129,4329,0
130,130,4364,0
131,131,4398,0
132,132,4430,0
133,133,4467,0
134,134,4497,0
135,135,4532,0
136,136,4569,0
137,137,4598,0
138,138,4636,0
139,139,4667,0
140,140,4700,0
141,141,4735,0
142,142,4766,0
143,143,4800,0
144,144,4837,0
145,145,4868,0
146,146,4906,0
147,147,4936,0
148,148,4971,0
149,149,5005,0
150,150,5036,0
151,151,5070,0
152,152,5104,0
153,153,5137,0
154,154,5176,0
155,155,5204,0
156,156,5240,0
157,157,5274,0
158,158,5304,0
159,159,5341,0
160,160,5372,0
161,161,5405,0
162,162,5441,0
163,163,5472,0
164,164,5509,0
165,165,5540,0
166,166,5573,0
167,167,5610,0
168,168,5640,0
169,169,5675,0
170,170,5709,0
171,171,5741,0
172,172,5778,0
173,173,5809,0
174,174,5844,0
175,175,5878,0
176,176,5910,0
177,177,5945,0
178,178,5977,0
179,179,6010,0
180,180,6048,0
181,181,6077,0
182,182,6112,0
183,183,6146,0
184,184,6178,0
185,185,6214,0
186,186,6245,0
187,187,6280,0
188,188,6314,0
189,189,6346,0
190,190,6381,0
191,191,6413,0
192,192,6446,0
193,193,6483,0
194,194,6515,0
195,195,6549,0
196,196,6581,0
197,197,6616,0
198,198,6653,0
199,199,6682,0
200,200,6717,0
201,201,6750,0
202,202,6782,0
203,203,6819,0
204,204,6850,0
205,205,6885,0
206,206,6919,0
207,207,6951,0
208,208,6986,0
209,209,7019,0
210,210,7053,0
211,211,7089,0
212,212,7119,0
213,213,7153,0
214,214,7187,0
215,215,7221,0
216,216,7257,0
217,217,7287,0
218,218,7323,0
219,219,7356,0
220,220,7387,0
221,221,7424,0
222,222,7455,0
223,223,7489,0
224,224,7526,0
225,225,7555,0
226,226,7593,0
227,227,7624,0
228,228,7657,0
229,229,7694,0
230,230,7724,0
231,231,7760,0
232,232,7793,0
233,233,7825,0
234,234,7863,0
235,235,7892,0
236,236,7927,0
237,237,7961,0
238,238,7992,0
239,239,8028,0
240,240,8062,0
241,241,8093,0
242,242,8130,0
243,243,8162,0
244,244,8196,0
245,245,8229,0
246,246,8262,0
247,247,8299,0
248,248,8329,0
249,249,8364,0
250,250,8398,0
251,251,8430,0
252,252,8467,0
253,253,8498,0
254,254,8531,0
255,255,8567,0
256,256,8597,0
257,257,8632,0
258,258,8667,0
259,259,8698,0
260,260,8736,0
261,261,8766,0
262,262,8801,0
263,263,8835,0
264,264,8867,0
265,265,8903,0
266,266,8934,0
267,267,8968,0
268,268,9003,0
269,269,9035,0
270,270,9070,0
271,271,9103,0
272,272,9135,0
273,273,9173,0
274,274,9203,0
275,275,9238,0
276,276,9271,0
277,277,9305,0
278,278,9340,0
279,279,9370,0
280,280,9407,0
281,281,9441,0
282,282,9471,0
283,283,9507,0
284,284,9539,0
285,285,9572,0
286,286,9609,0
287,287,9640,0
288,288,9676,0
289,289,9706,0
290,290,9741,0
291,291,9778,0
292,292,9808,0
293,293,9841,0
294,294,9876,0
295,295,9909,0
296,296,9945,0
297,297,9975,0
298,298,10009,0
299,299,10045,0
300,300,10076,0
301,301,10110,0
302,302,10144,0
303,303,10177,0
304,304,10215,0
305,305,10245,0
306,306,10280,0
307,307,10314,0
308,308,10346,0
309,309,10382,0
310,310,10412,0
311,311,10447,0
312,312,10482,0
313,313,10514,0
314,314,10550,0
315,315,10581,0
316,316,10614,0
317,317,10651,0
318,318,10682,0
319,319,10716,0
320,320,10750,0
321,321,10782,0
322,322,10820,0
323,323,10849,0
324,324,10885,0
325,325,10919,0
326,326,10950,0
327,327,10986,0
328,328,11018,0
329,329,11053,0
330,330,11088,0
331,331,11119,0
332,332,11153,0
333,333,11186,0
334,334,11220,0
335,335,11257,0
336,336,11286,0
337,337,11321,0
338,338,11355,0
339,339,11388,0
340,340,11426,0
341,341,11455,0
342,342,11489,0
343,343,11524,0
344,344,11556,0
345,345,11590,0
346,346,11623,0
347,347,11656,0
348,348,11693,0
349,349,11724,0
350,350,11760,0
351,351,11792,0
352,352,11824,0
353,353,11861,0
354,354,11892,0
355,355,11926,0
356,356,11960,0
357,357,11992,0
358,358,12029,0
359,359,12059,0
360,360,12094,0
361,361,12129,0
362,362,12161,0
363,363,12194,0
364,364,12229,0
365,365,12262,0
366,366,12299,0
367,367,12329,0
368,368,12364,0
369,369,12397,0
370,370,12429,0
371,371,12466,0
372,372,12496,0
373,373,12532,0
374,374,12566,0
375,375,12598,0
376,376,12632,0
377,377,12664,0
378,378,12699,0
379,379,12735,0
380,380,12766,0
381,381,12799,0
382,382,12833,0
383,383,12866,0
384,384,12903,0
385,385,12933,0
386,386,12969,0
387,387,13003,0
388,388,13034,0
389,389,13070,0
390,390,13102,0
391,391,13135,0
392,392,13172,0
393,393,13204,0
394,394,13236,0
395,395,13270,0
396,396,13304,0
397,397,13340,0
398,398,13370,0
399,399,13405,0
400,400,13438,0
401,401,13471,0
402,402,13509,0
403,403,13538,0
404,404,13572,0
405,405,13608,0
406,406,13639,0
407,407,13674,0
408,408,13706,0
409,409,13739,0
410,410,13776,0
411,411,13806,0
412,412,13843,0
413,413,13876,0
414,414,13908,0
415,415,13945,0
416,416,13975,0
417,417,14009,0
418,418,14045,0
419,419,14076,0
420,420,14112,0
421,421,14144,0
422,422,14177,0
423,423,14213,0
424,424,14244,0
425,425,14278,0
426,426,14312,0
427,427,14345,0
428,428,14382,0
429,429,14412,0
430,430,14447,0
431,431,14481,0
432,432,14513,0
433,433,14549,0
434,434,14580,0
435,435,14614,0
436,436,14650,0
437,437,14682,0
438,438,14716,0
439,439,14748,0
440,440,14782,0
441,441,14818,0
442,442,14848,0
443,443,14884,0
444,444,14917,0
445,445,14949,0
446,446,14987,0
447,447,15017,0
448,448,15053,0
449,449,15087,0
450,450,15118,0
451,451,15153,0
452,452,15186,0
453,453,15220,0
454,454,15256,0
455,455,15286,0
456,456,15322,0
457,457,15354,0
458,458,15387,0
459,459,15424,0
460,460,15454,0
461,461,15489,0
462,462,15522,0
463,463,15554,0
464,464,15592,0
465,465,15621,0
466,466,15656,0
467,467,15691,0
468,468,15723,0
469,469,15758,0
470,470,15791,0
471,471,15824,0
472,472,15860,0
473,473,15891,0
474,474,15926,0
475,475,15960,0
476,476,15991,0
477,477,16028,0
478,478,16058,0
479,479,16093,0
480,480,16128,0
481,481,16159,0
482,482,16195,0
483,483,16227,0
484,484,16261,0
485,485,16297,0
486,486,16327,0
487,487,16361,0
488,488,16396,0
489,489,16428,0
490,490,16465,0
491,491,16496,0
492,492,16531,0
493,493,16565,0
494,494,16597,0
495,495,16632,0
496,496,16664,0
497,497,16697,0
498,498,16734,0
499,499,16764,0
500,500,16800,0
501,501,16833,0
502,502,16865,0
503,503,16902,0
504,504,16933,0
505,505,16968,0
506,506,17001,0
507,507,17033,0
508,508,17072,0
509,509,17100,0
510,510,17137,0
511,511,17171,0
512,512,17202,0
513,513,17236,0
514,514,17269,0
515,515,17303,0
516,516,17340,0
517,517,17369,0
518,518,17405,0
519,519,17438,0
520,520,17471,0
521,521,17507,0
522,522,17537,0
523,523,17573,0
524,524,17607,0
525,525,17638,0
526,526,17675,3
527,527,17706,3
528,528,17744,2
529,529,17778,1
530,530,17810,0
531,531,17843,0
532,532,17875,0
533,533,17907,0
534,534,17945,0
535,535,17974,0
536,536,18010,0
537,537,18042,0
538,538,18076,0
539,539,18111,0
540,540,18142,0
541,541,18177,0
542,542,18212,0
543,543,18243,0
544,544,18278,0
545,545,18312,0
546,546,18345,0
547,547,18381,0
548,548,18411,0
549,549,18444,0
550,550,18480,0
551,551,18512,0
552,552,18550,0
553,553,18579,0
554,554,18614,0
555,555,18649,0
556,556,18680,0
557,557,18716,0
558,558,18747,0
559,559,18780,0
560,560,18817,0
561,561,18848,0
562,562,18882,0
563,563,18916,0
564,564,18949,0
565,565,18986,0
566,566,19016,0
567,567,19052,0
568,568,19085,0
569,569,19118,0
570,570,19154,0
571,571,19184,0
572,572,19219,0
573,573,19254,0
574,574,19285,0
575,575,19320,0
576,576,19353,0
577,577,19385,0
578,578,19423,0
579,579,19453,0
580,580,19489,0
581,581,19522,0
582,582,19555,0
583,583,19590,0
584,584,19622,0
585,585,19655,0
586,586,19690,0
587,587,19722,0
588,588,19759,0
589,589,19790,0
590,590,19824,0
591,591,19859,0
592,592,19889,0
593,593,19925,0
594,594,19959,0
595,595,19991,0
596,596,20028,0
597,597,20058,0
598,598,20093,0
599,599,20127,0
600,600,20159,0
601,601,20195,0
602,602,20226,0
603,603,20261,0
604,604,20295,0
605,605,20327,0
606,606,20361,0
607,607,20395,0
608,608,20429,0
609,609,20465,0
610,610,20495,0
611,611,20529,0
612,612,20565,0
613,613,20596,0
614,614,20633,0
615,615,20664,0
616,616,20698,0
617,617,20733,0
618,618,20765,0
619,619,20800,0
620,620,20831,0
621,621,20865,0
622,622,20902,0
623,623,20932,0
624,624,20967,0
625,625,21000,0
626,626,21033,0
627,627,21070,0
628,628,21101,0
629,629,21135,0
630,630,21169,0
631,631,21201,0
632,632,21238,0
633,633,21268,0
634,634,21303,0
635,635,21338,0
636,636,21368,0
637,637,21403,0
638,638,21437,0
639,639,21470,0
640,640,21508,0
641,641,21538,0
642,642,21572,0
643,643,21605,0
644,644,21638,0
645,645,21674,0
646,646,21705,0
647,647,21739,0
648,648,21774,0
649,649,21806,0
650,650,21842,0
651,651,21873,0
652,652,21907,0
653,653,21943,0
654,654,21973,0
655,655,22008,0
656,656,22042,0
657,657,22075,0
658,658,22112,0
659,659,22142,0
660,660,22175,0
661,661,22210,0
662,662,22243,0
663,663,22279,0
664,664,22310,0
665,665,22344,0
666,666,22380,0
667,667,22410,0
668,668,22445,0
669,669,22479,0
670,670,22513,0
671,671,22548,0
672,672,22578,0
673,673,22612,0
674,674,22648,0
675,675,22680,0
676,676,22716,0
677,677,22746,0
678,678,22782,0
679,679,22816,0
680,680,22847,0
681,681,22883,0
682,682,22915,0
683,683,22948,0
684,684,22986,0
685,685,23016,0
686,686,23052,0
687,687,23085,0
688,688,23116,0
689,689,23153,0
690,690,23184,0
691,691,23219,0
692,692,23254,0
693,693,23285,0
694,694,23321,0
695,695,23353,0
696,696,23386,0
697,697,23422,0
698,698,23453,0
699,699,23486,0
700,700,23521,0
701,701,23553,0
702,702,23591,0
703,703,23620,0
704,704,23656,0
705,705,23689,0
706,706,23721,0
707,707,23758,0
708,708,23789,0
709,709,23822,0
710,710,23858,0
711,711,23890,0
712,712,23924,0
713,713,23957,0
714,714,23990,0
715,715,24027,0
716,716,24057,0
717,717,24092,0
718,718,24126,0
719,719,24159,0
720,720,24196,0
721,721,24226,0
722,722,24261,0
723,723,24295,0
724,724,24327,0
725,725,24362,0
726,726,24394,0
727,727,24427,0
728,728,24464,0
729,729,24495,0
730,730,24529,0
731,731,24562,0
732,732,24596,0
733,733,24632,0
734,734,24662,0
735,735,24697,0
736,736,24731,0
737,737,24763,0
738,738,24800,0
739,739,24830,0
740,740,24863,0
741,741,24902,0
742,742,24932,0
743,743,24966,0
744,744,24998,0
745,745,25033,0
746,746,25069,0
747,747,25099,0
748,748,25134,0
749,749,25168,0
750,750,25200,0
751,751,25236,0
752,752,25267,0
753,753,25301,0
754,754,25337,0
755,755,25369,0
756,756,25404,0
757,757,25435,0
758,758,25469,0
759,759,25504,0
760,760,25536,0
761,761,25571,0
762,762,25604,0
763,763,25637,0
764,764,25674,0
765,765,25704,0
766,766,25739,0
767,767,25773,0
768,768,25805,0
769,769,25840,0
770,770,25872,0
771,771,25905,0
772,772,25942,0
773,773,25973,0
774,774,26009,0
775,775,26041,0
776,776,26074,0
777,777,26110,0
778,778,26141,0
779,779,26176,0
780,780,26209,0
781,781,26242,0
782,782,26280,0
783,783,26309,0
784,784,26344,0
785,785,26378,0
786,786,26409,0
787,787,26445,0
788,788,26478,0
789,789,26511,0
790,790,26549,0
791,791,26579,0
792,792,26613,0
793,793,26646,0
794,794,26679,0
795,795,26715,0
796,796,26746,0
797,797,26781,0
798,798,26816,0
799,799,26847,0
800,800,26884,0
801,801,26915,0
802,802,26948,0
803,803,26985,0
804,804,27016,0
805,805,27050,0
806,806,27083,0
807,807,27115,0
808,808,27153,0
809,809,27184,0
810,810,27218,0
811,811,27251,0
812,812,27284,0
813,813,27320,0
814,814,27351,0
815,815,27385,0
816,816,27421,0
817,817,27452,0
818,818,27488,0
819,819,27520,0
820,820,27554,0
821,821,27589,0
822,822,27620,0
823,823,27655,0
824,824,27688,0
825,825,27721,0
826,826,27758,0
827,827,27788,0
828,828,27823,0
829,829,27856,0
830,830,27888,0
831,831,27924,0
832,832,27957,0
833,833,27990,0
834,834,28027,0
835,835,28056,0
836,836,28092,0
837,837,28125,0
838,838,28158,0
839,839,28194,0
840,840,28225,0
841,841,28260,0
842,842,28294,0
843,843,28326,0
844,844,28361,0
845,845,28393,0
846,846,28427,0
847,847,28462,0
848,848,28493,0
849,849,28528,0
850,850,28562,0
851,851,28595,0
852,852,28633,0
853,853,28661,0
854,854,28697,0
855,855,28731,0
856,856,28763,0
857,857,28799,0
858,858,28829,0
859,859,28864,0
860,860,28899,0
861,861,28932,0
862,862,28966,0
863,863,28998,0
864,864,29033,0
865,865,29068,0
866,866,29098,0
867,867,29134,0
868,868,29167,0
869,869,29199,0
870,870,29238,0
871,871,29266,0
872,872,29302,0
873,873,29336,0
874,874,29368,0
875,875,29403,0
876,876,29435,0
877,877,29468,0
878,878,29504,0
879,879,29535,0
880,880,29571,0
881,881,29604,0
882,882,29637,0
883,883,29673,0
884,884,29704,0
885,885,29738,0
886,886,29773,0
887,887,29804,0
888,888,29840,0
889,889,29872,0
890,890,29905,0
891,891,29942,0
892,892,29972,0
893,893,30006,0
894,894,30039,0
895,895,30073,0
896,896,30110,0
897,897,30140,0
898,898,30176,0
899,899,30209,0
900,900,30241,0
901,901,30277,0
902,902,30309,0
903,903,30343,0
904,904,30377,0
905,905,30409,0
906,906,30445,0
907,907,30477,0
908,908,30510,0
909,909,30546,0
910,910,30577,0
911,911,30611,0
912,912,30646,0
913,913,30680,0
914,914,30716,0
915,915,30746,0
916,916,30779,0
917,917,30814,0
918,918,30846,0
919,919,30882,0
920,920,30914,0
921,921,30948,0
922,922,30983,0
923,923,31015,0
924,924,31054,0
925,925,31082,0
926,926,31116,0
927,927,31151,0
928,928,31182,0
929,929,31217,0
930,930,31250,0
931,931,31283,0
932,932,31320,0
933,933,31351,0
934,934,31386,0
935,935,31420,0
936,936,31451,0
937,937,31487,0
938,938,31519,0
939,939,31552,0
940,940,31588,0
941,941,31619,0
942,942,31655,0
943,943,31687,0
944,944,31721,0
945,945,31756,0
946,946,31788,0
947,947,31821,0
948,948,31856,0
949,949,31888,0
950,950,31925,0
951,951,31955,0
952,952,31989,0
953,953,32024,0
954,954,32056,0
955,955,32092,0
956,956,32123,0
957,957,32157,0
958,958,32194,0
959,959,32224,0
960,960,32259,0
961,961,32294,0
962,962,32325,0
963,963,32360,0
964,964,32392,0
965,965,32425,0
966,966,32461,0
967,967,32493,0
968,968,32529,0
969,969,32561,0
970,970,32595,0
971,971,32630,0
972,972,32661,0
973,973,32696,0
974,974,32729,0
975,975,32763,0
976,976,32800,0
977,977,32829,0
978,978,32865,0
979,979,32898,0
980,980,32929,0
981,981,32966,0
982,982,32997,0
983,983,33031,0
984,984,33066,0
985,985,33098,0
986,986,33134,0
987,987,33166,0
988,988,33199,0
989,989,33236,0
990,990,33266,0
991,991,33300,0
992,992,33334,0
993,993,33367,0
994,994,33405,0
995,995,33435,0
996,996,33468,0
997,997,33503,0
998,998,33535,0
999,999,33571,0
1000,1000,33602,4
1001,1001,33636,4
1002,1002,33671,3
1003,1003,33707,2
1004,1004,33742,2
1005,1005,33774,1
1006,1006,33805,0
1007,1007,33841,0
1008,1008,33871,0
1009,1009,33905,0
1010,1010,33939,0
1011,1011,33971,0
1012,1012,34009,0
1013,1013,34039,0
1014,1014,34074,0
1015,1015,34110,0
1016,1016,34140,0
1017,1017,34175,0
1018,1018,34208,0
1019,1019,34241,0
1020,1020,34278,0
1021,1021,34308,0
1022,1022,34343,0
1023,1023,34376,0
1024,1024,34408,0
1025,1025,34445,0
1026,1026,34476,0
1027,1027,34510,0
1028,1028,34545,0
1029,1029,34576,0
1030,1030,34613,0
1031,1031,34644,0
1032,1032,34678,0
1033,1033,34714,0
1034,1034,34745,0
1035,1035,34779,0
1036,1036,34813,0
1037,1037,34846,0
1038,1038,34884,0
1039,1039,34912,0
1040,1040,34948,0
1041,1041,34981,0
1042,1042,35013,0
1043,1043,35050,0
1044,1044,35081,0
1045,1045,35114,0
1046,1046,35150,0
1047,1047,35181,0
1048,1048,35216,0
1049,1049,35250,0
1050,1050,35283,0
1051,1051,35318,0
1052,1052,35350,0
1053,1053,35383,0
1054,1054,35418,0
1055,1055,35450,0
1056,1056,35488,0
1057,1057,35517,0
1058,1058,35553,0
1059,1059,35588,0
1060,1060,35618,0
1061,1061,35653,0
1062,1062,35687,0
1063,1063,35721,0
1064,1064,35756,0
1065,1065,35787,0
1066,1066,35822,0
1067,1067,35855,0
1068,1068,35888,0
1069,1069,35925,0
1070,1070,35955,0
1071,1071,35989,0
1072,1072,36024,0
1073,1073,36056,0
1074,1074,36094,0
1075,1075,36123,0
1076,1076,36157,0
1077,1077,36193,0
1078,1078,36224,0
1079,1079,36258,0
1080,1080,36292,0
1081,1081,36324,0
1082,1082,36361,0
1083,1083,36392,0
1084,1084,36427,0
1085,1085,36460,0
1086,1086,36492,0
1087,1087,36528,0
1088,1088,36559,0
1089,1089,36594,0
1090,1090,36629,0
1091,1091,36660,0
1092,1092,36697,0
1093,1093,36728,0
1094,1094,36761,0
1095,1095,36798,0
1096,1096,36828,0
1097,1097,36862,0
1098,1098,36897,0
1099,1099,36930,0
1100,1100,36966,0
1101,1101,36996,0
1102,1102,37032,0
1103,1103,37065,0
1104,1104,37097,0
1105,1105,37132,0
1106,1106,37164,0
1107,1107,37199,0
1108,1108,37235,0
1109,1109,37265,0
1110,1110,37301,0
1111,1111,37333,0
1112,1112,37367,0
1113,1113,37403,0
1114,1114,37433,0
1115,1115,37467,0
1116,1116,37502,0
1117,1117,37534,0
1118,1118,37572,0
1119,1119,37602,0
1120,1120,37636,0
1121,1121,37670,0
1122,1122,37702,0
1123,1123,37737,0
1124,1124,37770,0
1125,1125,37805,0
1126,1126,37840,0
1127,1127,37871,0
1128,1128,37905,0
1129,1129,37939,0
1130,1130,37971,0
1131,1131,38007,0
1132,1132,38038,0
1133,1133,38073,0
1134,1134,38107,0
1135,1135,38139,0
1136,1136,38176,0
1137,1137,38206,0
1138,1138,38240,0
1139,1139,38277,0
1140,1140,38307,0
1141,1141,38342,0
1142,1142,38375,0
1143,1143,38409,0
1144,1144,38446,0
1145,1145,38475,0
1146,1146,38510,0
1147,1147,38544,0
1148,1148,38576,0
1149,1149,38613,0
1150,1150,38643,0
1151,1151,38679,0
1152,1152,38713,0
1153,1153,38743,0
1154,1154,38781,0
1155,1155,38812,0
1156,1156,38845,0
1157,1157,38881,0
1158,1158,38913,0
1159,1159,38946,0
1160,1160,38981,0
1161,1161,39013,0
1162,1162,39050,0
1163,1163,39080,0
1164,1164,39113,0
1165,1165,39149,0
1166,1166,39181,0
1167,1167,39217,0
1168,1168,39248,0
1169,1169,39281,0
1170,1170,39318,0
1171,1171,39348,0
1172,1172,39384,0
1173,1173,39418,0
1174,1174,39450,0
1175,1175,39487,0
1176,1176,39518,0
1177,1177,39550,0
1178,1178,39586,0
1179,1179,39618,0
1180,1180,39654,0
1181,1181,39685,0
1182,1182,39719,0
1183,1183,39754,0
1184,1184,39785,0
1185,1185,39820,0
1186,1186,39855,0
1187,1187,39887,0
1188,1188,39924,0
1189,1189,39954,0
1190,1190,39987,0
1191,1191,40023,0
1192,1192,40055,0
1193,1193,40093,0
1194,1194,40122,0
1195,1195,40156,0
1196,1196,40191,0
1197,1197,40223,0
1198,1198,40260,0
1199,1199,40290,0
1200,1200,40324,0
1201,1201,40360,0
1202,1202,40391,0
1203,1203,40426,0
1204,1204,40458,0
1205,1205,40491,0
1206,1206,40529,0
1207,1207,40559,0
1208,1208,40594,0
1209,1209,40628,0
1210,1210,40659,0
1211,1211,40695,0
1212,1212,40727,0
1213,1213,40760,0
1214,1214,40796,0
1215,1215,40827,0
1216,1216,40863,0
1217,1217,40896,0
1218,1218,40929,0
1219,1219,40964,0
1220,1220,40996,0
1221,1221,41029,0
1222,1222,41065,0
1223,1223,41097,0
1224,1224,41134,0
1225,1225,41164,0
1226,1226,41198,0
1227,1227,41233,0
1228,1228,41264,0
1229,1229,41300,0
1230,1230,41332,0
1231,1231,41365,0
1232,1232,41403,0
1233,1233,41432,0
1234,1234,41468,0
1235,1235,41501,0
1236,1236,41533,0
1237,1237,41569,0
1238,1238,41601,0
1239,1239,41634,0
1240,1240,41671,0
1241,1241,41701,0
1242,1242,41737,0
1243,1243,41769,0
1244,1244,41804,0
1245,1245,41839,0
1246,1246,41869,0
1247,1247,41905,0
1248,1248,41937,0
1249,1249,41971,0
1250,1250,42007,0
1251,1251,42037,0
1252,1252,42073,0
1253,1253,42106,0
1254,1254,42138,0
1255,1255,42174,0
1256,1256,42206,0
1257,1257,42239,0
1258,1258,42276,0
1259,1259,42307,0
1260,1260,42341,0
1261,1261,42374,0
1262,1262,42408,0
1263,1263,42443,0
1264,1264,42474,0
1265,1265,42509,0
1266,1266,42542,0
1267,1267,42575,0
1268,1268,42611,0
1269,1269,42643,0
1270,1270,42676,0
1271,1271,42712,0
1272,1272,42744,0
1273,1273,42778,0
1274,1274,42811,0
1275,1275,42844,0
1276,1276,42880,0
1277,1277,42912,0
1278,1278,42947,0
1279,1279,42979,0
1280,1280,43012,0
1281,1281,43049,0
1282,1282,43079,0
1283,1283,43114,0
1284,1284,43149,0
1285,1285,43180,0
1286,1286,43218,0
1287,1287,43247,0
1288,1288,43281,0
1289,1289,43317,0
1290,1290,43349,0
1291,1291,43384,0
1292,1292,43417,0
1293,1293,43450,0
1294,1294,43486,0
1295,1295,43516,0
1296,1296,43552,0
1297,1297,43585,0
1298,1298,43617,0
1299,1299,43653,0
1300,1300,43684,0
1301,1301,43718,0
1302,1302,43754,0
1303,1303,43785,0
1304,1304,43820,0
1305,1305,43852,0
1306,1306,43887,0
1307,1307,43922,0
1308,1308,43953,0
1309,1309,43987,0
1310,1310,44022,0
1311,1311,44054,1
1312,1312,44090,1
1313,1313,44124,0
1314,1314,44157,0
1315,1315,44190,0
1316,1316,44222,0
1317,1317,44258,0
1318,1318,44289,0
1319,1319,44323,0
1320,1320,44360,0
1321,1321,44390,0
1322,1322,44427,0
1323,1323,44459,0
1324,1324,44491,0
1325,1325,44527,0
1326,1326,44558,0
1327,1327,44592,0
1328,1328,44627,0
1329,1329,44659,0
1330,1330,44696,0
1331,1331,44726,0
1332,1332,44760,0
1333,1333,44796,0
1334,1334,44827,0
1335,1335,44863,0
1336,1336,44896,0
1337,1337,44928,0
1338,1338,44965,0
1339,1339,44995,0
1340,1340,45030,0
1341,1341,45063,0
1342,1342,45096,0
1343,1343,45131,0
1344,1344,45162,0
1345,1345,45196,0
1346,1346,45233,0
1347,1347,45264,0
1348,1348,45300,0
1349,1349,45332,0
1350,1350,45366,0
1351,1351,45401,0
1352,1352,45432,0
1353,1353,45467,0
1354,1354,45501,0
1355,1355,45532,0
1356,1356,45568,0
1357,1357,45600,0
1358,1358,45634,0
1359,1359,45670,0
1360,1360,45701,0
1361,1361,45735,0
1362,1362,45767,0
1363,1363,45801,0
1364,1364,45838,0
1365,1365,45869,0
1366,1366,45905,0
1367,1367,45936,0
1368,1368,45970,0
1369,1369,46005,0
1370,1370,46037,0
1371,1371,46071,0
1372,1372,46105,0
1373,1373,46138,0
1374,1374,46174,0
1375,1375,46205,0
1376,1376,46239,0
1377,1377,46274,0
1378,1378,46305,0
1379,1379,46341,0
1380,1380,46373,0
1381,1381,46407,0
1382,1382,46443,0
1383,1383,46474,0
1384,1384,46510,0
1385,1385,46543,0
1386,1386,46575,0
1387,1387,46611,0
1388,1388,46642,0
1389,1389,46676,0
1390,1390,46711,0
1391,1391,46743,0
1392,1392,46779,0
1393,1393,46810,0
1394,1394,46845,0
1395,1395,46880,0
1396,1396,46910,0
1397,1397,46946,0
1398,1398,46978,0
1399,1399,47012,0
1400,1400,47049,0
1401,1401,47079,0
1402,1402,47114,0
1403,1403,47148,0
1404,1404,47180,0
1405,1405,47215,0
1406,1406,47246,0
1407,1407,47280,0
1408,1408,47315,0
1409,1409,47347,0
1410,1410,47384,0
1411,1411,47415,0
1412,1412,47449,0
1413,1413,47484,0
1414,1414,47515,0
1415,1415,47549,0
1416,1416,47584,0
1417,1417,47616,0
1418,1418,47654,0
1419,1419,47683,0
1420,1420,47719,0
1421,1421,47753,0
1422,1422,47784,0
1423,1423,47820,0
1424,1424,47852,0
1425,1425,47885,0
1426,1426,47922,0
1427,1427,47952,0
1428,1428,47987,0
1429,1429,48020,0
1430,1430,48054,0
1431,1431,48091,0
1432,1432,48120,0
1433,1433,48154,0
1434,1434,48190,0
1435,1435,48221,0
1436,1436,48259,0
1437,1437,48289,0
1438,1438,48322,0
1439,1439,48359,0
1440,1440,48390,0
1441,1441,48426,0
1442,1442,48457,0
1443,1443,48490,0
1444,1444,48526,0
1445,1445,48557,0
1446,1446,48593,0
1447,1447,48627,0
1448,1448,48659,0
1449,1449,48693,0
1450,1450,48726,0
1451,1451,48760,0
